SourceCourseName,MatchedCourseName,ImageFile,ImageLink
Administrative Procedure Development,Administrative Procedure Development,73d5df26-0e08-4f08-a347-d7f8c82fbdf3.webp,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages\73d5df26-0e08-4f08-a347-d7f8c82fbdf3.png
Administrative Record Management,Administrative Record Management,3e9ebc34-ef37-4573-ad11-2a5cd4440787.webp,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages\3e9ebc34-ef37-4573-ad11-2a5cd4440787.png
Administrative Skills for Meeting and Event Coordination,Administrative Skills for Meeting and Event Coordination,cd59d8ba-91c5-4532-aedc-12bc30f77838.webp,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages\cd59d8ba-91c5-4532-aedc-12bc30f77838.png
Advanced Excel Assessment,Advanced Excel Assessment,e52b8ab4-8b2f-4e6f-8a5e-1f9bfd43b1b9.webp,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages\e52b8ab4-8b2f-4e6f-8a5e-1f9bfd43b1b9.png
Advanced Microsoft Excel,Advanced Microsoft Excel,653dce5f-4b69-4803-8250-7ddbba7ee451.webp,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages\653dce5f-4b69-4803-8250-7ddbba7ee451.png
Advanced Microsoft PowerPoint,Advanced Microsoft PowerPoint,a94f1720-fca2-4165-94e7-76397800884f.webp,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages\a94f1720-fca2-4165-94e7-76397800884f.png
Advanced Microsoft Word,Advanced Microsoft Word,8c7d1801-99ad-4db5-9830-3c5521315164.webp,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages\8c7d1801-99ad-4db5-9830-3c5521315164.png
Analyse and Apply Management Practices Within the Supply Chain,Analyse and Apply Management Practices Within the Supply Chain,b00bb150-f856-4573-aa0a-98e15f6f6c31.webp,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages\b00bb150-f856-4573-aa0a-98e15f6f6c31.png
Analysing Media Impact on Business Sectors,Analysing Media Impact on Business Sectors,aaafae8a-06eb-4ce9-bcea-91bcd5d65d0f.webp,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages\aaafae8a-06eb-4ce9-bcea-91bcd5d65d0f.png
Analysing Shape and Motion in 2D and 3D Space,Analysing Shape and Motion in 2D and 3D Space,425c370b-496d-454c-85d1-aed048a4a291.webp,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages\425c370b-496d-454c-85d1-aed048a4a291.png
