CourseName,CourseImage
Booking Systems,05ce508a-2923-4ad0-8259-2bd130606523.webp
Comprehensive Security Risk Training,8916d772-ad8c-47bc-bbfd-f903b7690eed.webp
Business Report Writing in Retail/Wholesale,c29b5c69-c519-4f8f-a771-f347e873468b.webp
Introduce New Staff to the Workplace,01c6f555-a6d0-4e96-b343-e108ff94b8dc.webp
Basic Business Principles,fff895e7-c545-4dc2-b200-daff26239386.webp
"Number Bases and Measurement Units, and an Awareness of Error in the Context of Relevant Calculations",f0cdef6f-bccb-4451-b921-56518839fec1.webp
Exploring Shape and Motion in 2D and 3D Spaces,c8b362f4-2892-4385-99ab-f67ddd481a4f.webp
Solving Problems with Data and Probability,ea2077e2-1d07-4978-8283-be03e034932c.webp
Analysing Shape and Motion in 2D and 3D Space,425c370b-496d-454c-85d1-aed048a4a291.webp
Using Statistics and Probability to Analyse and Communicate Life Problems,b8602932-a1b2-480f-9cf4-b886df8fd4a2.webp
Branding,678950f4-696e-436f-98b7-c2f5af4a6ee4.webp
Exploring Physical Quantities and Geometrical Relationships,7a2479bf-34a3-4372-9e3f-1a9d703a6259.webp
Conducting Organisational Needs Analysis,4898f666-0f01-4848-bf43-49a52b1f847b.webp
Communication Skills,d6f0260b-aea7-473b-860d-1fb93097b0af.webp
Recruitment,dd629c91-2b04-47ac-ae81-21a340aafb56.webp
Business Writing Level 4,0bb523f8-3a99-4097-b7ed-b596c578a136.webp
Apply Concepts and Principles of Business Ethics in the Professional Environment,5bbf72ac-2518-4f91-ac0c-b53d656ea3ea.webp
Designing Information Systems,809f2f73-6002-4526-a11a-c719f9a6a58c.webp
Implementing and Maintaining Information Systems,f73601c2-b134-49d3-90d3-b491028427ed.webp
Develop Understanding Within an Organisation About the Risks Associated With Its Functioning and Contexts,eaa1821f-f260-4190-be89-29aeb9541010.webp
Data Checking Assessment,f0e77bab-95e3-4f09-8171-b2fae3d848a6.webp
Understanding HIV/AIDS in the Workplace,14bc2a89-267f-4c74-9cba-abd105bce897.webp
Basic Excel Assessment,ce93d37c-2df4-4255-83dc-010e862bc4a7.webp
Basic Microsoft Excel,a0a3800a-4a6b-499b-93dc-6ff3e4273649.webp
Microsoft Outlook,2e11f780-d6d7-4273-b2b6-3ea39599b56e.webp
Professional Conduct and Ethics in the Workplace,04f719ef-c99a-4831-ba91-d6f85d7c55b3.webp
Maintenance of Office Equipment,9a955d45-1f0e-4448-8bf5-805976a38ef9.webp
Managing an Information System in a Business,3517d49f-bfc5-41bf-9f1d-75396cd1cf63.webp
Manage Diversity to Add Value in the Workplace,37b083d4-cf30-4154-8cda-19b318189d0c.webp
