SourceCourseName,MatchedCourseName,Link
Administrative Procedure Development,Administrative Procedure Development,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Administrative Procedure Development.webp
Administrative Record Management,Administrative Record Management,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Administrative Record Management.webp
Administrative Skills for Meeting and Event Coordination,Administrative Skills for Meeting and Event Coordination,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Administrative Skills for Meeting and Event Coordination.webp
Advanced Excel Assessment,Advanced Excel Assessment,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Advanced Excel Assessment.webp
Advanced Microsoft Excel,Advanced Microsoft Excel,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Advanced Microsoft Excel.webp
Advanced Microsoft PowerPoint,Advanced Microsoft PowerPoint,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Advanced Microsoft PowerPoint.webp
Advanced Microsoft Word,Advanced Microsoft Word,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Advanced Microsoft Word.webp
Analyse and Apply Management Practices Within the Supply Chain,Analyse and Apply Management Practices Within the Supply Chain,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Analyse and Apply Management Practices Within the Supply Chain.webp
Analysing Media Impact on Business Sectors,Analysing Media Impact on Business Sectors,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Analysing Media Impact on Business Sectors.webp
Analysing Shape and Motion in 2D and 3D Space,Analysing Shape and Motion in 2D and 3D Space,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Analysing Shape and Motion in 2D and 3D Space.webp
Apply Concepts and Principles of Business Ethics in the Professional Environment,Apply Concepts and Principles of Business Ethics in the Professional Environment,C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Apply Concepts and Principles of Business Ethics in the Professional Environment.webp
