"Course","Status","From","To","Note"
"Administrative Procedure Development","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Administrative Procedure Development.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Administrative Procedure Development.webp",""
"Administrative Record Management","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Administrative Record Management.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Administrative Record Management.webp",""
"Administrative Skills for Meeting and Event Coordination","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Administrative Skills for Meeting and Event Coordination.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Administrative Skills for Meeting and Event Coordination.webp",""
"Advanced Excel Assessment","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Advanced Excel Assessment.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Advanced Excel Assessment.webp",""
"Advanced Microsoft Excel","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Advanced Microsoft Excel.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Advanced Microsoft Excel.webp",""
"Advanced Microsoft PowerPoint","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Advanced Microsoft PowerPoint.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Advanced Microsoft PowerPoint.webp",""
"Advanced Microsoft Word","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Advanced Microsoft Word.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Advanced Microsoft Word.webp",""
"Analyse and Apply Management Practices Within the Supply Chain","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Analyse and Apply Management Practices Within the Supply Chain.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Analyse and Apply Management Practices Within the Supply Chain.webp",""
"Analysing Media Impact on Business Sectors","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Analysing Media Impact on Business Sectors.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Analysing Media Impact on Business Sectors.webp",""
"Analysing Shape and Motion in 2D and 3D Space","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Analysing Shape and Motion in 2D and 3D Space.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Analysing Shape and Motion in 2D and 3D Space.webp",""
"Apply Concepts and Principles of Business Ethics in the Professional Environment","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Apply Concepts and Principles of Business Ethics in the Professional Environment.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Apply Concepts and Principles of Business Ethics in the Professional Environment.webp",""
"Apply In-bound Contact Centre Operations Within a Commercial Environment","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Apply In-bound Contact Centre Operations Within a Commercial Environment.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Apply In-bound Contact Centre Operations Within a Commercial Environment.webp",""
"Apply Legal Aspects in a Security Environment","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Apply Legal Aspects in a Security Environment.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Apply Legal Aspects in a Security Environment.webp",""
"Apply Out-bound Contact Centre Operations Within a Commercial Environment","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Apply Out-bound Contact Centre Operations Within a Commercial Environment.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Apply Out-bound Contact Centre Operations Within a Commercial Environment.webp",""
"Apply the Skills of Customer Care","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Apply the Skills of Customer Care.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Apply the Skills of Customer Care.webp",""
"Applying an Organisation's Code of Conduct","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Applying an Organisation's Code of Conduct.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Applying an Organisation's Code of Conduct.webp",""
"Appraise and Valuate Used Vehicles","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Appraise and Valuate Used Vehicles.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Appraise and Valuate Used Vehicles.webp",""
"Assessor (Conduct Outcome-based Assessments)","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Assessor (Conduct Outcome-based Assessments).webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Assessor (Conduct Outcome-based Assessments).webp",""
"Audience and Context Needs In Oral Communication","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Audience and Context Needs In Oral Communication.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Audience and Context Needs In Oral Communication.webp",""
"Basic Business Principles","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Basic Business Principles.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Basic Business Principles.webp",""
"Basic Computer Skills Assessment","Moved","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Basic Computer Skills Assessment.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP Courses Webp files\Basic Computer Skills Assessment.webp",""
