"Course","Status","From","To","Note"
"Booking Systems","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\05ce508a-2923-4ad0-8259-2bd130606523.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Booking Systems.webp",""
"Comprehensive Security Risk Training","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\8916d772-ad8c-47bc-bbfd-f903b7690eed.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Comprehensive Security Risk Training.webp",""
"Business Report Writing in Retail/Wholesale","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\c29b5c69-c519-4f8f-a771-f347e873468b.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Business Report Writing in RetailWholesale.webp",""
"Introduce New Staff to the Workplace","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\01c6f555-a6d0-4e96-b343-e108ff94b8dc.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Introduce New Staff to the Workplace.webp",""
"Basic Business Principles","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\fff895e7-c545-4dc2-b200-daff26239386.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Basic Business Principles.webp",""
"Number Bases and Measurement Units, and an Awareness of Error in the Context of Relevant Calculations","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\f0cdef6f-bccb-4451-b921-56518839fec1.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Number Bases and Measurement Units, and an Awareness of Error in the Context of Relevant Calculations.webp",""
"Exploring Shape and Motion in 2D and 3D Spaces","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\c8b362f4-2892-4385-99ab-f67ddd481a4f.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Exploring Shape and Motion in 2D and 3D Spaces.webp",""
"Solving Problems with Data and Probability","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\ea2077e2-1d07-4978-8283-be03e034932c.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Solving Problems with Data and Probability.webp",""
"Analysing Shape and Motion in 2D and 3D Space","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\425c370b-496d-454c-85d1-aed048a4a291.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Analysing Shape and Motion in 2D and 3D Space.webp",""
"Using Statistics and Probability to Analyse and Communicate Life Problems","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\b8602932-a1b2-480f-9cf4-b886df8fd4a2.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Using Statistics and Probability to Analyse and Communicate Life Problems.webp",""
"Branding","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\678950f4-696e-436f-98b7-c2f5af4a6ee4.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Branding.webp",""
"Exploring Physical Quantities and Geometrical Relationships","Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\7a2479bf-34a3-4372-9e3f-1a9d703a6259.webp","C:\Websites\learningmanagementsystem\Images\Course_Images\CourseImages tap\Exploring Physical Quantities and Geometrical Relationships.webp",""
